sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
240,virtual,2,361.0,50,1.71435,0.07479,5.67313,7.22
240,virtual,3,565.0,50,1.77508,0.09204,5.69233,11.3
242,closed,1,400.0,100,1.6765,0.065,5.30542,4.0
242,closed,2,729.0,100,1.75996,0.08779,5.5631,7.29
242,closed,3,1131.0,100,1.74027,0.08223,5.65458,11.31
242,virtual,1,200.0,50,1.80964,0.105,5.28,4.0
242,virtual,2,352.0,50,1.77374,0.09375,5.55492,7.04
242,virtual,3,518.0,50,1.69952,0.07143,5.68147,10.36
244,closed,1,400.0,100,1.71549,0.0775,5.29292,4.0
244,closed,2,729.0,100,1.71848,0.07545,5.5503,7.29
244,closed,3,1125.0,100,1.71917,0.07733,5.65467,11.25
244,virtual,1,200.0,50,1.86705,0.12,5.17417,4.0
244,virtual,2,351.0,50,1.73616,0.07977,5.50522,7.02
244,virtual,3,486.0,50,1.77548,0.09671,5.7716,9.72
246,closed,1,400.0,100,1.70721,0.07,5.29292,4.0
246,closed,2,739.0,100,1.70112,0.06766,5.54014,7.39
246,closed,3,1113.0,100,1.75777,0.08805,5.67176,11.13
246,virtual,1,200.0,50,1.86994,0.125,5.32833,4.0
246,virtual,2,373.0,50,1.74226,0.08847,5.60411,7.46
246,virtual,3,544.0,50,1.70499,0.06985,5.72304,10.88
248,closed,1,400.0,100,1.70978,0.075,5.29625,4.0
248,closed,2,748.0,100,1.72712,0.07888,5.52496,7.48
248,closed,3,1105.0,100,1.67734,0.06063,5.66968,11.05
248,virtual,1,200.0,50,1.7138,0.07,5.40083,4.0
248,virtual,2,364.0,50,1.72965,0.08242,5.64377,7.28
248,virtual,3,564.0,50,1.72704,0.07624,5.74232,11.28
250,closed,1,400.0,100,1.70897,0.07,5.28917,4.0
250,closed,2,737.0,100,1.78916,0.09905,5.55767,7.37
250,closed,3,1119.0,100,1.74917,0.09026,5.64403,11.19
250,virtual,1,200.0,50,1.79998,0.105,5.2775,4.0
250,virtual,2,366.0,50,1.82582,0.11202,5.61566,7.32
250,virtual,3,559.0,50,1.73303,0.0805,5.69976,11.18
252,closed,1,400.0,100,1.79133,0.095,5.30083,4.0
252,closed,2,740.0,100,1.73243,0.07838,5.55338,7.4
252,closed,3,1141.0,100,1.72489,0.078,5.62708,11.41
252,virtual,1,200.0,50,1.64284,0.05,5.39167,4.0
252,virtual,2,357.0,50,1.80614,0.10364,5.60084,7.14
252,virtual,3,537.0,50,1.79535,0.09683,5.74581,10.74
254,closed,1,400.0,100,1.77109,0.0925,5.32083,4.0
254,closed,2,736.0,100,1.763,0.09103,5.54416,7.36
254,closed,3,1141.0,100,1.71457,0.0745,5.64782,11.41
254,virtual,1,200.0,50,1.86326,0.125,5.19667,4.0
254,virtual,2,343.0,50,1.71438,0.07289,5.68707,6.86
254,virtual,3,501.0,50,1.734,0.08184,5.7648,10.02
256,closed,1,400.0,100,1.76673,0.0975,5.28958,4.0
256,closed,2,734.0,100,1.71115,0.07221,5.54292,7.34
256,closed,3,1120.0,100,1.72468,0.07857,5.65818,11.2
256,virtual,1,200.0,50,1.69193,0.065,5.19333,4.0
256,virtual,2,343.0,50,1.70712,0.06997,5.62099,6.86
256,virtual,3,524.0,50,1.7451,0.08397,5.73251,10.48
258,closed,1,400.0,100,1.71934,0.075,5.29208,4.0
258,closed,2,733.0,100,1.74071,0.08322,5.54957,7.33
258,closed,3,1125.0,100,1.74814,0.08444,5.6637,11.25
258,virtual,1,200.0,50,1.79646,0.11,5.45833,4.0
258,virtual,2,361.0,50,1.76416,0.08864,5.73084,7.22
258,virtual,3,565.0,50,1.75259,0.0885,5.70678,11.3
260,closed,1,400.0,100,1.74172,0.085,5.29417,4.0
260,closed,2,741.0,100,1.7161,0.07557,5.54071,7.41
260,closed,3,1113.0,100,1.70242,0.07098,5.6764,11.13
260,virtual,1,200.0,50,1.8694,0.13,5.21917,4.0
260,virtual,2,355.0,50,1.71194,0.07324,5.56432,7.1
260,virtual,3,496.0,50,1.77925,0.09677,5.8125,9.92
262,closed,1,400.0,100,1.74808,0.0875,5.27333,4.0
262,closed,2,735.0,100,1.73242,0.08027,5.54603,7.35
262,closed,3,1110.0,100,1.72785,0.07658,5.66156,11.1
262,virtual,1,200.0,50,1.765,0.09,5.28167,4.0
262,virtual,2,371.0,50,1.66221,0.0593,5.52606,7.42
262,virtual,3,548.0,50,1.69403,0.06934,5.60858,10.96
264,closed,1,400.0,100,1.69158,0.065,5.29292,4.0
264,closed,2,742.0,100,1.68657,0.06469,5.53931,7.42
264,closed,3,1117.0,100,1.71381,0.0761,5.6513,11.17
264,virtual,1,200.0,50,1.75956,0.09,5.47417,4.0
264,virtual,2,378.0,50,1.72875,0.07937,5.70635,7.56
264,virtual,3,570.0,50,1.71608,0.07193,5.78392,11.4
266,closed,1,400.0,100,1.73825,0.0825,5.26583,4.0
266,closed,2,739.0,100,1.76467,0.09202,5.5512,7.39
266,closed,3,1105.0,100,1.7633,0.09321,5.67376,11.05
266,virtual,1,200.0,50,1.79693,0.1,5.15917,4.0
266,virtual,2,343.0,50,1.74614,0.09038,5.51944,6.86
266,virtual,3,502.0,50,1.71377,0.0757,5.74502,10.04
268,closed,1,400.0,100,1.70855,0.0725,5.27833,4.0
268,closed,2,741.0,100,1.75739,0.08637,5.54453,7.41
268,closed,3,1123.0,100,1.71706,0.07569,5.67542,11.23
268,virtual,1,200.0,50,1.69548,0.07,5.46,4.0
268,virtual,2,370.0,50,1.70636,0.07838,5.70721,7.4
268,virtual,3,568.0,50,1.71618,0.07394,5.7409,11.36
270,closed,1,400.0,100,1.73298,0.0825,5.28542,4.0
270,closed,2,743.0,100,1.72226,0.07402,5.54015,7.43
270,closed,3,1130.0,100,1.6852,0.06106,5.65369,11.3
270,virtual,1,200.0,50,1.76049,0.085,5.33667,4.0
270,virtual,2,369.0,50,1.75424,0.08943,5.528,7.38
270,virtual,3,555.0,50,1.71963,0.07387,5.65946,11.1
272,closed,1,400.0,100,1.71351,0.075,5.28875,4.0
272,closed,2,745.0,100,1.77059,0.09128,5.53647,7.45
272,closed,3,1126.0,100,1.7663,0.09147,5.63795,11.26
272,virtual,1,200.0,50,1.66886,0.06,5.275,4.0
272,virtual,2,362.0,50,1.69733,0.06906,5.56814,7.24
272,virtual,3,518.0,50,1.66577,0.05405,5.76126,10.36
274,closed,1,400.0,100,1.72853,0.0775,5.29458,4.0
274,closed,2,739.0,100,1.72812,0.07848,5.56405,7.39
274,closed,3,1124.0,100,1.73514,0.08185,5.63909,11.24
274,virtual,1,200.0,50,1.72677,0.08,5.2825,4.0
274,virtual,2,362.0,50,1.67861,0.06354,5.61602,7.24
274,virtual,3,531.0,50,1.70241,0.07156,5.80038,10.62
276,closed,1,400.0,100,1.69883,0.0675,5.27042,4.0
276,closed,2,739.0,100,1.70085,0.06901,5.55593,7.39
276,closed,3,1123.0,100,1.73146,0.08014,5.65093,11.23
276,virtual,1,200.0,50,1.68652,0.07,5.43167,4.0
276,virtual,2,377.0,50,1.73686,0.08223,5.6145,7.54
276,virtual,3,577.0,50,1.72715,0.07279,5.67966,11.54
278,closed,1,400.0,100,1.76998,0.095,5.26208,4.0
278,closed,2,737.0,100,1.73096,0.07734,5.55586,7.37
278,closed,3,1113.0,100,1.66972,0.0593,5.67445,11.13
278,virtual,1,200.0,50,1.84588,0.12,5.3825,4.0
