sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
252,virtual,2,370.0,50,1.7178,0.07297,5.57207,7.4
252,virtual,3,564.0,50,1.7426,0.08865,5.65307,11.28
254,fail,1,400.0,100,1.68849,0.0725,5.27625,4.0
254,fail,2,707.0,100,1.72602,0.07779,5.64215,7.07
254,fail,3,1179.0,100,1.76093,0.08991,5.58114,11.79
254,virtual,1,200.0,50,1.73998,0.085,5.30833,4.0
254,virtual,2,358.0,50,1.70671,0.07263,5.68017,7.16
254,virtual,3,539.0,50,1.74225,0.08349,5.72944,10.78
256,fail,1,400.0,100,1.67965,0.07,5.27833,4.0
256,fail,2,710.0,100,1.70644,0.06901,5.63474,7.1
256,fail,3,1163.0,100,1.73664,0.08083,5.58355,11.63
256,virtual,1,200.0,50,1.73948,0.085,5.32,4.0
256,virtual,2,353.0,50,1.76082,0.09065,5.60293,7.06
256,virtual,3,536.0,50,1.75914,0.08955,5.73321,10.72
258,fail,1,400.0,100,1.66954,0.0625,5.30125,4.0
258,fail,2,709.0,100,1.69237,0.0677,5.64222,7.09
258,fail,3,1177.0,100,1.73192,0.07986,5.58992,11.77
258,virtual,1,200.0,50,1.66372,0.055,5.32833,4.0
258,virtual,2,372.0,50,1.7969,0.10215,5.51568,7.44
258,virtual,3,562.0,50,1.69621,0.0694,5.63375,11.24
260,fail,1,400.0,100,1.72377,0.0825,5.28792,4.0
260,fail,2,700.0,100,1.76299,0.08429,5.66643,7.0
260,fail,3,1190.0,100,1.77269,0.0916,5.59244,11.9
260,virtual,1,200.0,50,1.67679,0.065,5.33083,4.0
260,virtual,2,353.0,50,1.70652,0.07365,5.71152,7.06
260,virtual,3,535.0,50,1.69633,0.06729,5.72118,10.7
262,fail,1,400.0,100,1.68874,0.0725,5.29292,4.0
262,fail,2,697.0,100,1.72866,0.08034,5.65304,6.97
262,fail,3,1169.0,100,1.71629,0.07442,5.63031,11.69
262,virtual,1,200.0,50,1.7808,0.1,5.33833,4.0
262,virtual,2,368.0,50,1.74384,0.08424,5.6087,7.36
262,virtual,3,570.0,50,1.77491,0.09298,5.69678,11.4
264,fail,1,400.0,100,1.67218,0.07,5.29458,4.0
264,fail,2,709.0,100,1.70348,0.06629,5.62882,7.09
264,fail,3,1167.0,100,1.75563,0.08826,5.62225,11.67
264,virtual,1,200.0,50,1.7208,0.08,5.36667,4.0
264,virtual,2,354.0,50,1.82484,0.11299,5.64218,7.08
264,virtual,3,532.0,50,1.74326,0.08271,5.70332,10.64
266,fail,1,400.0,100,1.68614,0.075,5.30375,4.0
266,fail,2,710.0,100,1.75716,0.08451,5.65587,7.1
266,fail,3,1193.0,100,1.69199,0.0679,5.59863,11.93
266,virtual,1,200.0,50,1.72996,0.08,5.3475,4.0
266,virtual,2,367.0,50,1.74821,0.08447,5.63215,7.34
266,virtual,3,545.0,50,1.70854,0.06972,5.75902,10.9
268,fail,1,400.0,100,1.68836,0.0675,5.2825,4.0
268,fail,2,705.0,100,1.74973,0.08652,5.66005,7.05
268,fail,3,1183.0,100,1.74453,0.08707,5.60454,11.83
268,virtual,1,200.0,50,1.69372,0.065,5.35667,4.0
268,virtual,2,360.0,50,1.68031,0.06389,5.64074,7.2
268,virtual,3,538.0,50,1.67846,0.0632,5.72677,10.76
270,fail,1,400.0,100,1.67938,0.07,5.26917,4.0
270,fail,2,705.0,100,1.73217,0.07518,5.6695,7.05
270,fail,3,1172.0,100,1.7583,0.09044,5.61533,11.72
270,virtual,1,200.0,50,1.86151,0.115,5.38167,4.0
270,virtual,2,353.0,50,1.6978,0.07082,5.64259,7.06
270,virtual,3,570.0,50,1.77613,0.09649,5.69357,11.4
272,fail,1,400.0,100,1.69624,0.075,5.28542,4.0
272,fail,2,707.0,100,1.71254,0.07214,5.67586,7.07
272,fail,3,1182.0,100,1.7359,0.08037,5.62394,11.82
272,virtual,1,200.0,50,1.73484,0.075,5.32083,4.0
272,virtual,2,358.0,50,1.70388,0.07263,5.59032,7.16
272,virtual,3,506.0,50,1.75816,0.08696,5.6749,10.12
274,fail,1,400.0,100,1.65919,0.0625,5.29917,4.0
