sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
250,virtual,2,346.0,50,1.69957,0.07225,5.59875,6.92
250,virtual,3,538.0,50,1.79014,0.09665,5.78005,10.76
252,closed,1,400.0,100,1.75959,0.0925,5.36583,4.0
252,closed,2,731.0,100,1.74564,0.08482,5.62699,7.31
252,closed,3,1131.0,100,1.68698,0.06454,5.71323,11.31
252,virtual,1,200.0,50,1.66856,0.06,5.36583,4.0
252,virtual,2,362.0,50,1.75698,0.09116,5.59254,7.24
252,virtual,3,574.0,50,1.69953,0.07317,5.63386,11.48
254,closed,1,400.0,100,1.75446,0.085,5.35167,4.0
254,closed,2,745.0,100,1.69109,0.06443,5.59172,7.45
254,closed,3,1117.0,100,1.74239,0.08684,5.71277,11.17
254,virtual,1,200.0,50,1.79981,0.1,5.09333,4.0
254,virtual,2,356.0,50,1.73983,0.08427,5.4176,7.12
254,virtual,3,485.0,50,1.70211,0.06804,5.67251,9.7
256,closed,1,400.0,100,1.7877,0.1025,5.34792,4.0
256,closed,2,754.0,100,1.71712,0.0756,5.56145,7.54
256,closed,3,1115.0,100,1.73154,0.08161,5.70747,11.15
256,virtual,1,200.0,50,1.79006,0.1,5.08417,4.0
256,virtual,2,340.0,50,1.77581,0.09412,5.56324,6.8
256,virtual,3,487.0,50,1.7411,0.08214,5.6961,9.74
258,closed,1,400.0,100,1.74816,0.09,5.34875,4.0
258,closed,2,744.0,100,1.71888,0.07392,5.60865,7.44
258,closed,3,1127.0,100,1.72746,0.07897,5.71872,11.27
258,virtual,1,200.0,50,1.69309,0.07,5.2675,4.0
258,virtual,2,391.0,50,1.70945,0.06905,5.43819,7.82
258,virtual,3,557.0,50,1.7323,0.08079,5.60024,11.14
260,closed,1,400.0,100,1.68409,0.06,5.3675,4.0
260,closed,2,740.0,100,1.69253,0.06486,5.59775,7.4
260,closed,3,1139.0,100,1.7537,0.08955,5.68349,11.39
260,virtual,1,200.0,50,1.81266,0.1,5.26583,4.0
260,virtual,2,360.0,50,1.69941,0.06944,5.55602,7.2
260,virtual,3,547.0,50,1.71884,0.07861,5.66789,10.94
262,closed,1,400.0,100,1.68242,0.065,5.38125,4.0
262,closed,2,742.0,100,1.7075,0.07008,5.60557,7.42
262,closed,3,1135.0,100,1.76426,0.09251,5.7022,11.35
262,virtual,1,200.0,50,1.76265,0.09,5.225,4.0
262,virtual,2,373.0,50,1.70393,0.07239,5.46113,7.46
262,virtual,3,556.0,50,1.73103,0.07734,5.61091,11.12
264,closed,1,400.0,100,1.7427,0.0875,5.385,4.0
264,closed,2,741.0,100,1.67626,0.06208,5.59739,7.41
264,closed,3,1139.0,100,1.73346,0.07902,5.69871,11.39
264,virtual,1,200.0,50,1.71287,0.075,5.13333,4.0
264,virtual,2,353.0,50,1.79971,0.10765,5.46081,7.06
264,virtual,3,482.0,50,1.75178,0.08714,5.72095,9.64
266,closed,1,400.0,100,1.71227,0.0725,5.38375,4.0
266,closed,2,735.0,100,1.72407,0.07755,5.61043,7.35
266,closed,3,1125.0,100,1.70125,0.06933,5.70726,11.25
266,virtual,1,200.0,50,1.79016,0.1,5.21917,4.0
266,virtual,2,357.0,50,1.68089,0.06162,5.61204,7.14
266,virtual,3,551.0,50,1.67881,0.06352,5.64186,11.02
268,closed,1,400.0,100,1.76633,0.09,5.38292,4.0
268,closed,2,734.0,100,1.73894,0.08311,5.60173,7.34
268,closed,3,1131.0,100,1.67905,0.06278,5.71706,11.31
268,virtual,1,200.0,50,1.6825,0.06,5.19,4.0
268,virtual,2,366.0,50,1.74109,0.08197,5.5041,7.32
268,virtual,3,541.0,50,1.69716,0.06839,5.63001,10.82
270,closed,1,400.0,100,1.69337,0.065,5.3875,4.0
270,closed,2,724.0,100,1.69673,0.06906,5.63214,7.24
270,closed,3,1147.0,100,1.76297,0.09154,5.69369,11.47
270,virtual,1,200.0,50,1.63541,0.045,5.05417,4.0
270,virtual,2,330.0,50,1.70448,0.0697,5.50152,6.6
270,virtual,3,474.0,50,1.77854,0.09705,5.74824,9.48
272,closed,1,400.0,100,1.71867,0.0775,5.38208,4.0
272,closed,2,729.0,100,1.72509,0.07956,5.63077,7.29
272,closed,3,1139.0,100,1.74999,0.08341,5.69286,11.39
272,virtual,1,200.0,50,1.7345,0.085,5.26917,4.0
272,virtual,2,365.0,50,1.76176,0.08767,5.4895,7.3
272,virtual,3,543.0,50,1.73448,0.08103,5.63751,10.86
274,closed,1,400.0,100,1.76865,0.0925,5.36375,4.0
274,closed,2,732.0,100,1.68415,0.06284,5.61749,7.32
274,closed,3,1123.0,100,1.71965,0.07569,5.72277,11.23
274,virtual,1,200.0,50,1.72916,0.08,5.31833,4.0
274,virtual,2,378.0,50,1.69853,0.06878,5.52337,7.56
274,virtual,3,606.0,50,1.73639,0.08416,5.55061,12.12
276,closed,1,400.0,100,1.72241,0.075,5.38375,4.0
276,closed,2,737.0,100,1.77236,0.09091,5.63388,7.37
276,closed,3,1129.0,100,1.7043,0.06997,5.70741,11.29
276,virtual,1,200.0,50,1.78568,0.1,5.1825,4.0
276,virtual,2,358.0,50,1.71157,0.06983,5.42132,7.16
276,virtual,3,517.0,50,1.70535,0.07157,5.68117,10.34
278,closed,1,400.0,100,1.73399,0.08,5.40667,4.0
278,closed,2,742.0,100,1.70777,0.07008,5.62287,7.42
278,closed,3,1134.0,100,1.73033,0.07848,5.70738,11.34
278,virtual,1,200.0,50,1.76258,0.085,5.00667,4.0
278,virtual,2,343.0,50,1.73441,0.08163,5.42177,6.86
